,index,generated_output
698,78767,The width of the product is 2.24 inches.
699,78768,The height of the product is 3.8 inches.
700,78769,The height of the product is 33 cm (13 inches).
701,78770,The product is approximately 8.6x9 cm or 3.38x3.54 inches in height.
702,78771,The width of the product is 35.5 inches.
703,78772,The width of the product is 10cm or 3.94 inches.
704,78773,The product has a height of 8.8 cm (3.46 inches).
705,78774,"The depth of the product is 8.8 cm, which is approximately 3.46 inches."
706,78775,The width of the product is 5.19 inches.
707,78776,The height of the product is 12 cm.
708,78777,The width of the product is 21.6 inches.
709,78778,The depth of the product is 1.5 inches.
710,78779,The product has a depth of 30 x 40 cm.
711,78780,The product has a height of 30 cm.
712,78781,The maximum weight recommendation is 220 lb (100 kg).
713,78782,The height of the product is 25cm.
714,78783,The height of the product is 13.38 inches.
715,78784,The depth of the product is 20 cm.
716,78785,The product is 20cm tall.
717,78786,The height of the product is 500mm.
718,78787,The width of the product is 20.3 cm (8 inches).
719,78788,The product is 19.5 cm tall.
720,78789,The width of the product is 19.5 cm.
721,78790,The height of the product is 0.13 inches or 3.3 mm.
722,78791,The depth of the product is 40.5mm.
723,78792,The depth of the product is 4 cm.
724,78793,The width of the product is 29 cm.
725,78794,The product has a maximum retractable length of 38 inches.
726,78795,The height of the product is 2 cm.
727,78796,The height of the product is 18.7 inches.
728,78797,The width of the product is 77 inches.
729,78798,The width of the product is 61 cm (24.02 inches).
730,78799,The depth of the product is 61 cm (24.02 inches).
731,78800,The depth of the product is 1.38 inches.
732,78801,The product has a height of 1.97 inches.
733,78802,The height of the product is 9.5 inches or 24 centimeters.
734,78803,The width of the product is 9.5 inches or 24 centimeters.
735,78804,The depth of the product is 7.9 inches.
736,78805,The width of the product is 26 inches.
737,78806,The height of the product is 44 cm (17 inches).
738,78807,The product has a height of 15.7 inches (400 mm).
739,78808,The width of the product is 6.1 inches or 155 millimeters.
740,78809,The height of the product is 7.7 inches or 19.5 centimeters.
741,78810,The height of the product is 28 inches.
742,78811,The width of the product is 15 cm.
743,78812,The height of the product is approximately 12.8 cm or 5.0 inches.
744,78813,The width of the product is 2.5 inches.
745,78814,The height of the product is 6.5 inches.
746,78815,The depth of the product is 5 cm.
747,78816,The product has a height of 18 cm.
748,78817,The product has a width of 18 cm.
749,78818,The width of the product is 16.5 inches.
750,78819,The height of the product is 16.5 inches.
751,78820,The height of the product is 17 cm.
752,78821,The width of the product is 7.8 inches.
753,78822,The depth of the product is 7.8 inches.
754,78823,The width of the product is 1000 mm.
755,78824,The height of the product is 18.9 inches.
756,78825,The depth of the product is 9.9 inches.
757,78826,The width of the product is 23.5 cm.
758,78827,The height of the product is 21 inches.
759,78828,The height of the product is 8 cm or 3.14 inches.
760,78829,The width of the product is 23.5 cm.
761,78830,The height of the product is 28 cm.
762,78831,The width of the product is 90CM.
763,78832,The depth of the product is 90CM.
764,78833,The product is 8 feet tall.
765,78834,The width of the product is 8'.
766,78835,The product is 55 cm tall.
767,78836,The width of the product is 10cm (3.9 inches).
768,78837,The height of the product is 30 cm.
769,78838,The image does not provide a specific measurement of the item's weight.
770,78839,The depth of the product is 6.8cm/2.7in.
771,78840,The width of the product is 6.8cm (2.7 inches).
772,78841,The depth of the product is 85 cm (2.7 ft).
773,78842,The width of the product is 85 cm (2.7 ft).
774,78843,The product is 3 inches tall.
775,78844,The product has a width of 3 inches (76mm).
776,78845,The width of the product is 45mm.
777,78846,The depth of the product is 77mm.
778,78847,The width of the product is 12 1/2 inches (31.7 cm).
779,78848,The width of the product is 10.4 cm or 4.09 inches.
780,78849,The height of the product is 10.4 cm or 4.09 inches.
781,78850,The height of the product is 4.5 cm or 1.8 inches.
782,78851,The height of the product is 4.5 cm or 1.8 inches.
783,78852,The product is 65 cm tall.
784,78853,The product has a height of 14 inches.
785,78854,The width of the product is 7.35 inches (18.7 cm).
786,78855,The width of the product is 195 mm.
787,78856,The depth of the product is 195 mm.
788,78857,The depth of the product is 348 mm.
789,78858,The width of the product is 284 mm.
790,78859,The depth of the product is 2.5 inches.
791,78860,The height of the product is 6.6 inches.
792,78861,The height of the product is 15.7 cm.
793,78862,The width of the product is 16.5 cm.
794,78863,The height of the product is 340mm.
795,78864,The depth of the product is 220mm.
796,78865,The width of the product is 14.64 inches.
797,78866,The depth of the product is 40x60cm.
798,78867,The product is 37 cm tall.
799,78868,The depth of the product is 37 cm or 14.56 inches.
800,78869,The width of the product is 37 cm (14.56 inches).
801,78870,The depth of the product is 24 inches.
802,78871,The height of the product is 24 inches.
803,78872,The width of the product is 24 inches.
804,78873,The depth of the product is 3 meters.
805,78874,The product is an Extra Large size.
806,78875,The product has a height of 15.6 cm (6.1 inches).
807,78876,The product has a width of 15.6 cm (6.1 inches).
808,78877,The product has a height of 3.1 inches.
809,78878,The product is 10 inches tall.
810,78879,The product has a width of 10 inches.
811,78880,The product is 10 inches deep.
812,78881,The width of the product is 4.9 inches.
813,78882,The width of the product is 24.2 inches.
814,78883,"The product in the picture is a plush toy of a dragon. The dimensions of the plush toy are as follows:

- Height: 70 cm
- Width: 100 cm

The product is labeled as ""XXL"" (Extra Large) and is 70 cm tall."
815,78884,The depth of the product is 70 cm.
816,78885,The height of the product is 6 cm (2.36 inches).
817,78886,The width of the product is 18.1 inches.
818,78887,The height of the product is 13 inches.
819,78888,The product is 5.1 inches tall.
820,78889,The width of the product is 2.36 inches (6 cm).
821,78890,The depth of the product is 2.36 inches (6 cm).
822,78891,The height of the product is 95mm.
823,78892,The width of the product is 3.93 inches.
824,78893,The product has a height of 177.5 cm.
825,78894,The product has a height of 6.1 inches.
826,78895,The width of the product is 3 inches.
827,78896,The depth of the product is 1.1 inches or 2.8 cm.
828,78897,The width of the product is 1.1 inches or 2.8 cm.
829,78898,The height of the product is 33 cm (12.99 inches).
830,78899,The width of the product is 7.8 inches (20.0 cm).
831,78900,The depth of the product is 7.8 inches (20.0 cm).
832,78901,The height of the product is 44 cm (17 inches).
833,78902,The product is 2.83 inches tall.
834,78903,The product has a width of 2.83 inches.
835,78904,The height of the product is 38 cm.
836,78905,The depth of the product is 4.6 inches.
837,78906,The height of the product is 3.7 inches.
838,78907,The width of the product is 65.7 inches.
839,78908,The product has a height of 31.49 inches.
840,78909,The product has a height of 11.8 inches.
841,78910,The depth of the product is 2.8 inches.
842,78911,The width of the product is 83mm.
843,78912,The width of the product is 4.3 inches.
844,78913,The product has a depth of 2.7 inches.
845,78914,The product has a height of 3.7 inches (9.5 cm).
846,78915,The width of the product in the image is 60 cm.
847,78916,The height of the product is 11.8 inches or 30 centimeters.
848,78917,The depth of the product is 11.8 inches or 30 centimeters.
849,78918,The height of the product is 45 inches.
850,78919,The depth of the product is 45 inches.
851,78920,The width of the product is 45 inches.
852,78921,"The height of the product is 240 cm, which is equivalent to 94.5 inches."
853,78922,The depth of the product is 90cm.
854,78923,The height of the product is 90 cm.
855,78924,The depth of the product is 7ft.
856,78925,The width of the product is 32.28 inches.
857,78926,"The bottle is a rectangular prism with a width of 750 millimeters (750 mm), a depth of 750 mm (750 mm), and a height of 750 mm (750 mm). The volume of a rectangular prism is calculated by multiplying its width, depth, and height. Therefore, the volume of the bottle is:

\[ \text{Volume} = \text{Width} \times \text{Depth} \times \text{Height} \]
\[ \text{Volume} = 750 \, \text{mm} \times 750 \, \text{mm} \times 750 \, \text{mm} \]
\[ \text{Volume} = 750^3 \, \text{mm}^3 \]
\[ \text{Volume} = 562,500,000 \, \text{mm}^3 \]

Converting to liters (since 1 liter = 1000 milliliters):

\[ \text{Volume} = \frac{562,500,000 \, \text{mm}^3}{1000} \]
\[ \text{Volume} = 562,500 \, \text{ml} \]

Therefore, the volume of the bottle is 562,500 milliliters."
858,78927,There is no label in the image that indicates the maximum weight recommendation.
859,78928,The image does not provide any information about the weight of the product.
860,78929,The width of the product is 2.5 cm.
861,78930,The depth of the product is 2.5 cm.
862,78931,The height of the product is 2.5 cm.
863,78932,The width of the product is 25 cm.
864,78933,The height of the product is 2 inches (5.1 cm).
865,78934,The width of the product is 26.8 cm.
866,78935,The depth of the product is 2.16 inches or 5.5 centimeters.
867,78936,The height of the product is 2.16 inches or 5.5 cm.
868,78937,The width of the product is 2.16 inches or 5.5 centimeters.
869,78938,The height of the product is 4.0 cm.
870,78939,The depth of the product is 4.0 cm.
871,78940,The product has a height of 5.7 inches.
872,78941,The printer has a 250-sheet paper tray.
873,78942,The product has a 250-sheet paper tray.
874,78943,The width of the product is 100cm (39.4 inches).
875,78944,The width of the product is 190 cm (74.80 inches).
876,78945,The product is 190 cm tall.
877,78946,The depth of the product is 17.5 inches (44.5 cm).
878,78947,The width of the product is 17.5 inches or 44.5 centimeters.
879,78948,The product's item weight is 180g.
880,78949,The product's item weight is not explicitly indicated in the image.
881,78950,"The product is a Brother MFC-L8900CDW, which is a color laser multifunction printer (MFP). The wattage of the product is not explicitly mentioned in the image. However, you can find the wattage information on the product's specifications sheet or on the packaging. Typically, MFPs have a wattage rating of 400W or 500W, depending on the model."
882,78951,The width of the product is 14.5 cm (5.7 inches).
883,78952,The height of the product is 5.5 cm.
884,78953,The product is 11.8 inches tall.
885,78954,The width of the product is 16.5 inches.
886,78955,The height of the product is 3.7 inches.
887,78956,The width of the product is 6.5 cm (2.55 inches).
888,78957,The width of the product is 7 inches.
889,78958,The depth of the product is 7 inches.
890,78959,The product is 6.3 inches tall.
891,78960,The width of the product is 26 cm.
892,78961,The width of the product is 9 cm (3.54 inches).
893,78962,The height of the product is 35.9 inches.
894,78963,The depth of the product is 34 inches.
895,78964,The width of the product is 34 inches.
896,78965,The height of the product is 95 inches.
897,78966,The product has a height of 9.1 inches.
898,78967,The width of the product is 47.25 inches.
899,78968,The width of the product is 6 inches.
900,78969,The depth of the product is 1.0 inches.
901,78970,The width of the product is 5.0 inches.
902,78971,The product is 9 cm deep.
903,78972,The height of the product is 9 cm.
904,78973,The width of the product is 23.22 inches.
905,78974,The height of the product is 4.8 cm (1.89 inches).
906,78975,"The product has a height of 130mm, which is approximately 5.118 inches."
907,78976,"The depth of the product is 130mm, which is approximately 5.118 inches."
908,78977,"The product has a width of 130mm, which is approximately 5.118 inches."
909,78978,The width of the product is 31.7 cm.
910,78979,The product has a height of 14 cm (5.5 inches).
911,78980,"The depth of the product is 14 cm, which is 5.5 inches."
912,78981,The depth of the product is 10.2 inches or 26 centimeters.
913,78982,The height of the product is 8.6 inches.
914,78983,The height of the product is 25.4 cm.
915,78984,The height of the product is 38.5 cm.
916,78985,The product has a height of 10 cm.
917,78986,The depth of the product is 2.6 cm.
918,78987,"The depth of the product is 60mm, which is 2.4 inches."
919,78988,"The product has a height of 200mm, which is approximately 7.9 inches."
920,78989,The product has a height of 60mm (2.3 inches).
921,78990,The depth of the product is 60mm (2.3 inches).
922,78991,The product has a height of 30mm.
923,78992,The product's item weight is 2.6 pounds.
924,78993,The product has a width of 30CM.
925,78994,"The product has two height options, suitable for houses with a height of 2.4m-3m."
926,78995,The height of the product is 13 inches.
927,78996,The height of the product is 6 cm.
928,78997,The depth of the product is 6 cm.
929,78998,The height of the product is 38.5 inches.
930,78999,The height of the product is 82mm.
931,79000,The depth of the product is 14 cm.
932,79001,The height of the product is 62 cm or 24.41 inches.
933,79002,The depth of the product is 62 cm or 24.41 inches.
934,79003,The binoculars in the image have a weight of 100 grams.
935,79004,The product has a width of 19.7 inches.
936,79005,The width of the product is 6 cm (2.36 inches).
937,79006,The depth of the product is 6 cm (2.36 inches).
938,79007,The product has a height of 32 cm (12.6 inches).
939,79008,The width of the product is 10CM/3.94IN.
940,79009,The depth of the product is 6 inches.
941,79010,The width of the product is 6 inches.
942,79011,The product is 3.5 cm deep.
943,79012,The depth of the product is 1.97 inches.
944,79013,The width of the product is 1.97 inches.
945,79014,The width of the product is 530mm.
946,79015,"The width of the product is 16.5 cm, which is approximately 6.49 inches."
947,79016,"The depth of the product is 8.5 cm, which is equivalent to 3.34 inches."
948,79017,The height of the product is 6.49 inches.
949,79018,The product has a height of 43 cm.
950,79019,The depth of the product is 33 cm.
951,79020,The depth of the product is 2.25 inches.
952,79021,The width of the product is 13.8 inches.
953,79022,The product is 13.8 inches tall.
954,79023,The product is 13.8 inches tall.
955,79024,The product has a height of 17 inches.
956,79025,The depth of the product is 25cm (9.8 inches).
957,79026,The weight of the binoculars is 230g.
958,79027,The product has a height of 15.6 cm (6.14 inches).
959,79028,The width of the product is 15.6 cm or 6.14 inches.
960,79029,The product is 15.6 cm (6.14 inches) deep.
961,79030,"The height of the product is 90 cm, which is equivalent to 35.43 inches."
962,79031,The depth of the product is 25mm.
963,79032,The width of the product is 28 inches.
964,79033,The depth of the product is 18 inches.
965,79034,The width of the product is 8.5 cm (3.375 inches).
966,79035,The product has a height of 103mm.
967,79036,The depth of the product is 103mm.
968,79037,The width of the product is 23 cm / 9 inches.
969,79038,The depth of the product in the image is 2.8 inches.
970,79039,The product is 2.24 inches tall.
971,79040,The depth of the product is 2.24 inches or 5.7 cm.
972,79041,The product has a width of 5.7 cm.
973,79042,The depth of the product is 3.8 inches.
974,79043,The product has a width of 3.8 inches.
975,79044,The product is 3.8 inches tall.
976,79045,The width of the product is 3.38 inches.
977,79046,The product's item weight is 980g.
978,79047,The product is a set of 10 cards and envelopes.
979,79048,"The width of the product is 5 1/4""."
980,79049,"The wattage of the product is 12V, 0.25A."
981,79050,The voltage rating of the product is 12V.
982,79051,The width of the product is 7.87 inches.
983,79052,The product's item weight is 1.10 kg.
984,79053,The product height is 23.6 inches (60 cm).
985,79054,The depth of the product is 23.6 inches (60 cm).
986,79055,The product is 16 cm in height and 18 cm in width.
987,79056,The product is 16 cm tall.
988,79057,The full size of the Benefit Hoola product is 8.0 grams (0.28 ounces).
989,79058,The product is a bar stool with a height of 24 inches.
990,79059,The width of the product is 20 inches.
991,79060,The width of the product is 15.5 cm.
992,79061,The product width is 148 mm.
993,79062,The width of the product is 5.8 inches (14.8 cm).
994,79063,The height of the product is 9.4 inches (24 cm).
995,79064,"The product is described as ""More compact - occupy little."" This suggests that the product is designed to be lightweight and compact, occupying little space. The dimensions provided indicate that the product is relatively small in size."
996,79065,The width of the product is 12 inches.
997,79066,The height of the product is 60 cm.
998,79067,The product is 12x6 inches tall.
999,79068,The product has a total length of 41 inches.
1000,79069,The depth of the product is 30.5 inches.
1001,79070,The width of the product is 1.38 inches.
1002,79071,The depth of the product is 16 inches.
1003,79072,The product is 16 inches tall.
1004,79073,The depth of the product is 29 cm.
1005,79074,The height of the product is 16.5 cm.
1006,79075,The depth of the product is 125 mm.
1007,79076,The product has a height of 170 mm.
1008,79077,The depth of the product is 30 cm (11.18 inches).
1009,79078,The maximum weight recommendation is 300 lbs.
1010,79079,The depth of the product is 7 cm.
1011,79080,The height of the product is 24 cm.
1012,79081,The image does not provide a specific measurement of the product's weight.
1013,79082,"The product is a power cord, not a power supply. The wattage of the power cord itself is not directly indicated on the product. However, the product claims to be ""Extra Long Power Cord,"" which suggests that it is designed to provide more convenience for the user."
1014,79083,The product is 30 inches tall.
1015,79084,The depth of the product is 30 inches.
1016,79085,The product has a width of 10 cm when folded.
1017,79086,The product is 50 cm tall.
1018,79087,"The product is a portable antenna, and it is described as being only 10 cm (or 100 mm) when folded."
1019,79088,The width of the product is 21 cm.
1020,79089,The depth of the product is 21 cm.
1021,79090,The product's item weight is not explicitly indicated in the image.
1022,79091,The product's item weight is 550 mAh.
1023,79092,The width of the product is 220 cm or 86.6 inches.
1024,79093,The height of the product is 220 cm or 86.6 inches.
1025,79094,"The product's item weight is not explicitly indicated in the image. However, the image provides information about the product's features, such as the Qualcomm Bluetooth 5.0 Chip, Environmental Noise Cancellation, 24H Battery Life, and 15min Fast charge time for 3h use."
1026,79095,The product is 27.5 cm tall.
1027,79096,The width of the product is 7.2 cm (2.8 inches).
1028,79097,The height of the product is 33.85 inches.
1029,79098,The width of the product is 23.7 inches.
1030,79099,The height of the product is 16.6 inches.
1031,79100,The product has a height of 50 cm.
1032,79101,The product has a width of 25 cm.
1033,79102,The width of the product is 177mm.
1034,79103,The product has a width of 13 cm.
1035,79104,The height of the product is 84 inches.
1036,79105,The height of the product is 4.5 cm.
1037,79106,The depth of the product is 240 mm.
1038,79107,The width of the product is 240 mm.
1039,79108,The width of the product is 1.1 cm (0.43 inches).
1040,79109,The maximum weight recommendation for the BougeRV Roof Rack is 160 lbs (72 kg).
1041,79110,The width of the product is 4.3 inches or 11 centimeters.
1042,79111,The product has a height of 3.4 inches.
1043,79112,The depth of the product is 3.4 inches.
1044,79113,The depth of the product is 10.5 cm (4.13 inches) from the top of the passport to the bottom of the passport.
1045,79114,The height of the product is 5.5 inches.
1046,79115,The width of the product is 2.4 inches (61mm).
1047,79116,The depth of the product is 2.4 inches (61mm).
1048,79117,The width of the product is 21CM.
1049,79118,The depth of the product is 5 inches.
1050,79119,The width of the product is 5 inches.
1051,79120,The product is 5 inches tall.
1052,79121,The product's item weight is 90g.
1053,79122,The height of the product is 1.4 inches.
1054,79123,The depth of the product is 0.5 inches.
1055,79124,The depth of the product is 75mm.
1056,79125,The depth of the product is 9.4 inches (24 cm).
1057,79126,The depth of the product is 2 inches or 5.3 centimeters.
1058,79127,The height of the product is 31.5 inches.
1059,79128,The height of the product is 52.6 cm.
1060,79129,The width of the product is 70 cm.
1061,79130,The depth of the product is 12 inches.
1062,79131,The width of the product is 12 inches.
1063,79132,The height of the product is 9.5 inches (24 cm).
1064,79133,The height of the product is 14 cm (5.5 inches).
1065,79134,The depth of the product is 14 cm (5.5 inches).
1066,79135,The product has a width of 6.29 inches (160 mm).
1067,79136,The height of the product is 12cm (4.7 inches).
1068,79137,The width of the product is 2 inches.
1069,79138,The depth of the product is 2 inches.
1070,79139,The product is 170 cm tall.
1071,79140,The product is 1.85 inches tall.
1072,79141,The width of the product is 1.85 inches.
1073,79142,The depth of the product is 54.0 mm.
1074,79143,The product has a height of 89.0 mm.
1075,79144,The height of the product is 60.5 cm.
1076,79145,The depth of the product is 60.5 cm.
1077,79146,The depth of the product is 18 inches (45 cm).
1078,79147,The width of the product is 52 cm.
1079,79148,The depth of the product is 18 cm.
1080,79149,The depth of the product is 19 cm or 7.5 inches.
1081,79150,The height of the product is 16.5 cm or 6.5 inches.
1082,79151,The product's item weight is 3.2 kg (7.1 lbs).
1083,79152,The height of the product is 45 cm (17.7 inches).
1084,79153,The height of the product is 7.6 inches.
1085,79154,The product has a height of 2.5 inches or 6.5 centimeters.
1086,79155,The width of the product is 126 cm.
1087,79156,The image does not provide any information about the item's weight.
1088,79157,The depth of the product is 32mm.
1089,79158,The width of the product is 36 inches.
1090,79159,"The height of the product is 23 cm, which is approximately 9.06 inches."
1091,79160,The width of the product is 16.5 inches.
1092,79161,The product has a height of 35 cm (13.78 inches).
1093,79162,The product is 9 cm (3.54 inches) tall.
1094,79163,The width of the product is 22 cm.
1095,79164,The product is 120 cm tall.
1096,79165,The width of the product is 7.5 cm (2.95 inches).
1097,79166,The product has a height of 9 cm (3.54 inches).
1098,79167,"The product is a set of 8 figurines, each with a different character and animal. The figurines are approximately 7.5 cm (2.95 inches) tall."
1099,79168,The depth of the product is 21 cm.
1100,79169,The height of the product is 24 cm.
1101,79170,"The product dimensions are as follows:

- 1.77 inch (tweezers)
- 2.24 inch (small bottle)
- 1.38 inch (small spoon)
- 2.32 inch (contact lens case)
- 2.36 inch (contact lens case)
- 2.36 inch (contact lens case)
- 1.65 inch (contact lens case)
- 1.03 inch (contact lens case)
- 2.95 inch (contact lens case)"
1102,79171,"The product has the following dimensions:

- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.36 inches
- Contact lens case: 2.3"
1103,79172,The product is 1.5 inches deep.
1104,79173,The width of the product is 1.5 inches.
1105,79174,The depth of the product is 6.7 cm.
1106,79175,The height of the product is 14 cm.
1107,79176,The height of the product is 9.5 cm (3.74 inches).
1108,79177,The width of the product is 45 cm.
1109,79178,The depth of the product is 45 cm.
1110,79179,The height of the product is 45 cm.
1111,79180,The product's item weight is not explicitly indicated in the image.
1112,79181,The wattage of the product is 70W.
1113,79182,The width of the product is 12.5 inches.
1114,79183,The depth of the product is 1.18 inches (3 cm).
1115,79184,The width of the product is 12 inches.
1116,79185,The depth of the product is 12 inches.
1117,79186,The height of the product is 18 inches.
1118,79187,The height of the product is 66 cm.
1119,79188,The product's item weight is 5 kg (11 lbs).
1120,79189,The maximum weight recommendation is 5 kilograms (5 kg) or 11 pounds (11 lbs).
1121,79190,The width of the product is 50 cm.
1122,79191,The width of the product is 4.8 cm (1.9 inches).
1123,79192,"The height of the product is 4.8 cm, which is equivalent to 1.9 inches."
1124,79193,The product has a width of 8.5 cm.
1125,79194,The depth of the product is 7.5 cm.
1126,79195,The product has a width of 55mm.
1127,79196,The product has a height of 120mm.
1128,79197,The height of the product is 15 cm.
1129,79198,The depth of the product is 11 cm.
1130,79199,The product is 10 cm tall.
1131,79200,The depth of the product is 16 cm or 6.3 inches.
1132,79201,The width of the product is 10 cm or 3.9 inches.
1133,79202,The weight of the kettlebell in the image is 20 kg.
1134,79203,The product is 4.33 inches tall.
1135,79204,The depth of the product is 4.68 inches.
1136,79205,The width of the product is 4.68 inches.
1137,79206,The height of the product is 9.4 inches or 24 cm.
1138,79207,The depth of the product is 19.5 cm (7.7 inches).
1139,79208,The width of the product is 19.5 cm (7.7 inches).
1140,79209,The product is 14 inches tall.
1141,79210,The width of the product is 35 cm.
1142,79211,The product is 40 cm wide.
1143,79212,The width of the product is 30x60 cm.
1144,79213,The product has a height of 30 cm.
1145,79214,The product is 3.5 inches tall.
1146,79215,The depth of the product is 2 inches.
1147,79216,The height of the product is 35.5 cm.
1148,79217,The width of the product is 1.9 inches.
1149,79218,The depth of the product is 10.2 inches or 25 centimeters.
1150,79219,The product has a power rating of 1000W.
1151,79220,"The product illustration does not provide specific information about the voltage rating. However, it does mention that the refrigerant is R-404A, which is a refrigerant commonly used in air conditioning systems. The refrigeration method is also mentioned as water cooling system, which typically uses water as the cooling medium."
1152,79221,The width of the product is 6.7 cm.
1153,79222,The product has a height of 20 cm (7.78 inches).
1154,79223,The product is 18 cm tall.
1155,79224,The depth of the product is 7 cm.
1156,79225,The depth of the product is 13 cm.
1157,79226,The depth of the product is 2.9 inches or 7.5 centimeters.
1158,79227,The width of the product is 70 inches.
1159,79228,The height of the product is 25.7 inches.
1160,79229,The height of the product is 25mm.
1161,79230,The depth of the product is 25mm.
1162,79231,The height of the product in the image is 20mm.
1163,79232,The product has a height of 15.2 inches.
1164,79233,The width of the product is approximately 11 cm (4.3 inches).
1165,79234,The depth of the product is approximately 5.5 cm (2.1 inches).
1166,79235,"The product information is as follows:

- Material: Polyester
- Size: 70.8 x 35.4"" (180 x 90 cm)
- Fit: All season
- Care: Hand wash

The product is made of polyester and has a size of 70.8 x 35.4"". It is suitable for all seasons and can be hand washed."
1167,79236,The depth of the product is 10 inches.
1168,79237,The product has a height of 14 inches.
1169,79238,The product is 120cm tall.
1170,79239,The width of the product is 120cm.
1171,79240,The depth of the product is 120cm.
1172,79241,The depth of the product is 9.0 cm / 3.5 inches.
1173,79242,The height of the product is 7.0 cm (2.8 inches).
1174,79243,"The depth of the product is 52.1 mm, which is approximately 1.95 inches."
1175,79244,The height of the product is 45CM.
1176,79245,The depth of the product is 39cm.
1177,79246,The product has a height of 82 cm.
1178,79247,The depth of the product is 21mm (0.82 inches).
1179,79248,The height of the product is 7.5 inches.
1180,79249,The width of the product is 2.4 inches or 6 centimeters.
1181,79250,The width of the product is 23.6 inches.
1182,79251,The height of the product is 7.08 inches or 18 centimeters.
1183,79252,The depth of the product is 7.28 inches or 18.5 centimeters.
1184,79253,The product has a height of 4.9 inches.
1185,79254,The depth of the product is 2.6 inches.
1186,79255,The depth of the product is 6 cm (2.4 inches).
1187,79256,The width of the product is 6 cm (2.4 inches).
1188,79257,The height of the product is 180 cm.
1189,79258,The height of the product is 105 cm.
1190,79259,The depth of the product is 53 cm.
1191,79260,The width of the product is 7 inches or 18 cm.
1192,79261,The width of the product is 9 inches.
1193,79262,The depth of the product is 9 inches.
1194,79263,The product is 10.6 inches tall.
1195,79264,The product has a width of 18mm.
1196,79265,The depth of the product is 18mm.
1197,79266,The product has a height of 13 cm.
1198,79267,The width of the product is 85 inches.
1199,79268,"The product is a ""weighted blanket"" that is 10 pounds heavy and is designed to help with anxiety. It is a King Size blanket that measures 85 inches by 93 inches."
1200,79269,"The depth of the product is 215mm, which is the width of the cover."
1201,79270,The product has a height of 215mm.
1202,79271,The height of the product is 6 cm.
1203,79272,The depth of the product is 6 cm.
1204,79273,The depth of the product is 35 cm (13.8 inches).
1205,79274,The product has a depth of 92 cm.
1206,79275,The product has a width of 92 cm.
1207,79276,The product has a height of 14.96 inches.
1208,79277,The depth of the product is 2.2 inches.
1209,79278,The product in the image is 4.2 inches wide.
1210,79279,The product in the image is 4.2 inches long.
1211,79280,The product in the image is 4.2 inches tall.
1212,79281,The height of the product is 3 cm.
1213,79282,The depth of the product is 3 cm.
1214,79283,The depth of the product is 9.37 inches (23.8 cm).
1215,79284,The width of the product is 11.53 inches (29.3 cm).
1216,79285,The height of the product is 15.1 inches.
1217,79286,The product's item weight is 250 kg or 550 lbs.
